
SET IDENTITY_INSERT [dbo].[Building] ON 

INSERT [dbo].[Building] ([BuildingID], [BuildingName], [BuildingDescription], [BuildingPicture], [BuildingCode]) VALUES (1, N'An Lạc', N'Nằm giữa một khu vườn yên tĩnh với những hàng cây xanh mát, An Lạc mang đến một không gian thanh bình và ấm cúng. Thiết kế kiến trúc hiện đại với những đường nét đơn giản, kết hợp hài hòa với thiên nhiên xung quanh.', N'https://i.ibb.co/JrqjRCn/Screenshot-2024-06-19-134117.png', 'AL')
INSERT [dbo].[Building] ([BuildingID], [BuildingName], [BuildingDescription], [BuildingPicture],[BuildingCode]) VALUES (2, N'An Viên', N'An Viên mang đậm nét kiến trúc truyền thống với những mái ngói cong và những chi tiết chạm khắc tinh xảo. Không gian bên trong được bài trí trang trọng và ấm cúng, gợi nhớ về những giá trị văn hóa sâu sắc.', N'https://i.ibb.co/JrqjRCn/Screenshot-2024-06-19-134117.png', 'AV')
SET IDENTITY_INSERT [dbo].[Building] OFF


INSERT INTO [dbo].[Floor] (BuildingID, FloorName, FloorDescription, FloorCode)
VALUES 
-- An Lạc Building (ID 1)
(1, N'Tầng 1', N'Mô tả tầng 1' , N'AL-F1'),
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1722, 18, N'202', N'Available', NULL, NULL, NULL, N'AL-F3-A2-202')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1723, 18, N'203', N'Available', NULL, NULL, NULL, N'AL-F3-A2-203')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1724, 18, N'204', N'Available', NULL, NULL, NULL, N'AL-F3-A2-204')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1725, 18, N'205', N'Available', NULL, NULL, NULL, N'AL-F3-A2-205')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1726, 18, N'206', N'Available', NULL, NULL, NULL, N'AL-F3-A2-206')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1727, 18, N'207', N'Available', NULL, NULL, NULL, N'AL-F3-A2-207')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1728, 18, N'208', N'Available', NULL, NULL, NULL, N'AL-F3-A2-208')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1729, 18, N'209', N'Available', NULL, NULL, NULL, N'AL-F3-A2-209')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1730, 18, N'210', N'Available', NULL, NULL, NULL, N'AL-F3-A2-210')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1731, 18, N'211', N'Available', NULL, NULL, NULL, N'AL-F3-A2-211')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1732, 18, N'212', N'Available', NULL, NULL, NULL, N'AL-F3-A2-212')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1733, 18, N'213', N'Available', NULL, NULL, NULL, N'AL-F3-A2-213')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1734, 18, N'214', N'Available', NULL, NULL, NULL, N'AL-F3-A2-214')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1735, 18, N'215', N'Available', NULL, NULL, NULL, N'AL-F3-A2-215')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1736, 18, N'216', N'Available', NULL, NULL, NULL, N'AL-F3-A2-216')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1737, 18, N'217', N'Available', NULL, NULL, NULL, N'AL-F3-A2-217')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1738, 18, N'218', N'Available', NULL, NULL, NULL, N'AL-F3-A2-218')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1739, 18, N'219', N'Available', NULL, NULL, NULL, N'AL-F3-A2-219')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1740, 18, N'220', N'Available', NULL, NULL, NULL, N'AL-F3-A2-220')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1741, 18, N'301', N'Available', NULL, NULL, NULL, N'AL-F3-A2-301')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1742, 18, N'302', N'Available', NULL, NULL, NULL, N'AL-F3-A2-302')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1743, 18, N'303', N'Available', NULL, NULL, NULL, N'AL-F3-A2-303')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1744, 18, N'304', N'Available', NULL, NULL, NULL, N'AL-F3-A2-304')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1745, 18, N'305', N'Available', NULL, NULL, NULL, N'AL-F3-A2-305')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1746, 18, N'306', N'Available', NULL, NULL, NULL, N'AL-F3-A2-306')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1747, 18, N'307', N'Available', NULL, NULL, NULL, N'AL-F3-A2-307')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1748, 18, N'308', N'Available', NULL, NULL, NULL, N'AL-F3-A2-308')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1749, 18, N'309', N'Available', NULL, NULL, NULL, N'AL-F3-A2-309')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1750, 18, N'310', N'Available', NULL, NULL, NULL, N'AL-F3-A2-310')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1751, 18, N'311', N'Available', NULL, NULL, NULL, N'AL-F3-A2-311')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1752, 18, N'312', N'Available', NULL, NULL, NULL, N'AL-F3-A2-312')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1753, 18, N'313', N'Available', NULL, NULL, NULL, N'AL-F3-A2-313')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1754, 18, N'314', N'Available', NULL, NULL, NULL, N'AL-F3-A2-314')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1755, 18, N'315', N'Available', NULL, NULL, NULL, N'AL-F3-A2-315')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1756, 18, N'316', N'Available', NULL, NULL, NULL, N'AL-F3-A2-316')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1757, 18, N'317', N'Available', NULL, NULL, NULL, N'AL-F3-A2-317')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1758, 18, N'318', N'Available', NULL, NULL, NULL, N'AL-F3-A2-318')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1759, 18, N'319', N'Available', NULL, NULL, NULL, N'AL-F3-A2-319')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1760, 18, N'320', N'Available', NULL, NULL, NULL, N'AL-F3-A2-320')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1761, 18, N'401', N'Available', NULL, NULL, NULL, N'AL-F3-A2-401')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1762, 18, N'402', N'Available', NULL, NULL, NULL, N'AL-F3-A2-402')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1763, 18, N'403', N'Available', NULL, NULL, NULL, N'AL-F3-A2-403')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1764, 18, N'404', N'Available', NULL, NULL, NULL, N'AL-F3-A2-404')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1765, 18, N'405', N'Available', NULL, NULL, NULL, N'AL-F3-A2-405')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1766, 18, N'406', N'Available', NULL, NULL, NULL, N'AL-F3-A2-406')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1767, 18, N'407', N'Available', NULL, NULL, NULL, N'AL-F3-A2-407')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1768, 18, N'408', N'Available', NULL, NULL, NULL, N'AL-F3-A2-408')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1769, 18, N'409', N'Available', NULL, NULL, NULL, N'AL-F3-A2-409')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1770, 18, N'410', N'Available', NULL, NULL, NULL, N'AL-F3-A2-410')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1771, 18, N'411', N'Available', NULL, NULL, NULL, N'AL-F3-A2-411')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1772, 18, N'412', N'Available', NULL, NULL, NULL, N'AL-F3-A2-412')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1773, 18, N'413', N'Available', NULL, NULL, NULL, N'AL-F3-A2-413')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1774, 18, N'414', N'Available', NULL, NULL, NULL, N'AL-F3-A2-414')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1775, 18, N'415', N'Available', NULL, NULL, NULL, N'AL-F3-A2-415')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1776, 18, N'416', N'Available', NULL, NULL, NULL, N'AL-F3-A2-416')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1777, 18, N'417', N'Available', NULL, NULL, NULL, N'AL-F3-A2-417')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1778, 18, N'418', N'Available', NULL, NULL, NULL, N'AL-F3-A2-418')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1779, 18, N'419', N'Available', NULL, NULL, NULL, N'AL-F3-A2-419')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1780, 18, N'420', N'Available', NULL, NULL, NULL, N'AL-F3-A2-420')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1781, 18, N'501', N'Available', NULL, NULL, NULL, N'AL-F3-A2-501')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1782, 18, N'502', N'Available', NULL, NULL, NULL, N'AL-F3-A2-502')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1783, 18, N'503', N'Available', NULL, NULL, NULL, N'AL-F3-A2-503')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1784, 18, N'504', N'Available', NULL, NULL, NULL, N'AL-F3-A2-504')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1785, 18, N'505', N'Available', NULL, NULL, NULL, N'AL-F3-A2-505')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1786, 18, N'506', N'Available', NULL, NULL, NULL, N'AL-F3-A2-506')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1787, 18, N'507', N'Available', NULL, NULL, NULL, N'AL-F3-A2-507')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1788, 18, N'508', N'Available', NULL, NULL, NULL, N'AL-F3-A2-508')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1789, 18, N'509', N'Available', NULL, NULL, NULL, N'AL-F3-A2-509')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1790, 18, N'510', N'Available', NULL, NULL, NULL, N'AL-F3-A2-510')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1791, 18, N'511', N'Available', NULL, NULL, NULL, N'AL-F3-A2-511')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1792, 18, N'512', N'Available', NULL, NULL, NULL, N'AL-F3-A2-512')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1793, 18, N'513', N'Available', NULL, NULL, NULL, N'AL-F3-A2-513')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1794, 18, N'514', N'Available', NULL, NULL, NULL, N'AL-F3-A2-514')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1795, 18, N'515', N'Available', NULL, NULL, NULL, N'AL-F3-A2-515')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1796, 18, N'516', N'Available', NULL, NULL, NULL, N'AL-F3-A2-516')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1797, 18, N'517', N'Available', NULL, NULL, NULL, N'AL-F3-A2-517')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1798, 18, N'518', N'Available', NULL, NULL, NULL, N'AL-F3-A2-518')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1799, 18, N'519', N'Available', NULL, NULL, NULL, N'AL-F3-A2-519')
GO
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1800, 18, N'520', N'Available', NULL, NULL, NULL, N'AL-F3-A2-520')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1801, 19, N'101', N'Available', NULL, NULL, NULL, N'AL-F3-A3-101')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1802, 19, N'102', N'Available', NULL, NULL, NULL, N'AL-F3-A3-102')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1803, 19, N'103', N'Available', NULL, NULL, NULL, N'AL-F3-A3-103')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1804, 19, N'104', N'Available', NULL, NULL, NULL, N'AL-F3-A3-104')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1805, 19, N'105', N'Available', NULL, NULL, NULL, N'AL-F3-A3-105')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1806, 19, N'106', N'Available', NULL, NULL, NULL, N'AL-F3-A3-106')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1807, 19, N'107', N'Available', NULL, NULL, NULL, N'AL-F3-A3-107')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1808, 19, N'108', N'Available', NULL, NULL, NULL, N'AL-F3-A3-108')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1809, 19, N'109', N'Available', NULL, NULL, NULL, N'AL-F3-A3-109')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1810, 19, N'110', N'Available', NULL, NULL, NULL, N'AL-F3-A3-110')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1811, 19, N'111', N'Available', NULL, NULL, NULL, N'AL-F3-A3-111')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1812, 19, N'112', N'Available', NULL, NULL, NULL, N'AL-F3-A3-112')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1813, 19, N'113', N'Available', NULL, NULL, NULL, N'AL-F3-A3-113')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1814, 19, N'114', N'Available', NULL, NULL, NULL, N'AL-F3-A3-114')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1815, 19, N'115', N'Available', NULL, NULL, NULL, N'AL-F3-A3-115')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1816, 19, N'116', N'Available', NULL, NULL, NULL, N'AL-F3-A3-116')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1817, 19, N'117', N'Available', NULL, NULL, NULL, N'AL-F3-A3-117')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1818, 19, N'118', N'Available', NULL, NULL, NULL, N'AL-F3-A3-118')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1819, 19, N'119', N'Available', NULL, NULL, NULL, N'AL-F3-A3-119')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1820, 19, N'120', N'Available', NULL, NULL, NULL, N'AL-F3-A3-120')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1821, 19, N'201', N'Available', NULL, NULL, NULL, N'AL-F3-A3-201')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1822, 19, N'202', N'Available', NULL, NULL, NULL, N'AL-F3-A3-202')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1823, 19, N'203', N'Available', NULL, NULL, NULL, N'AL-F3-A3-203')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1824, 19, N'204', N'Available', NULL, NULL, NULL, N'AL-F3-A3-204')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1825, 19, N'205', N'Available', NULL, NULL, NULL, N'AL-F3-A3-205')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1826, 19, N'206', N'Available', NULL, NULL, NULL, N'AL-F3-A3-206')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1827, 19, N'207', N'Available', NULL, NULL, NULL, N'AL-F3-A3-207')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1828, 19, N'208', N'Available', NULL, NULL, NULL, N'AL-F3-A3-208')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1829, 19, N'209', N'Available', NULL, NULL, NULL, N'AL-F3-A3-209')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1830, 19, N'210', N'Available', NULL, NULL, NULL, N'AL-F3-A3-210')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1831, 19, N'211', N'Available', NULL, NULL, NULL, N'AL-F3-A3-211')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1832, 19, N'212', N'Available', NULL, NULL, NULL, N'AL-F3-A3-212')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1833, 19, N'213', N'Available', NULL, NULL, NULL, N'AL-F3-A3-213')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1834, 19, N'214', N'Available', NULL, NULL, NULL, N'AL-F3-A3-214')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1835, 19, N'215', N'Available', NULL, NULL, NULL, N'AL-F3-A3-215')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1836, 19, N'216', N'Available', NULL, NULL, NULL, N'AL-F3-A3-216')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1837, 19, N'217', N'Available', NULL, NULL, NULL, N'AL-F3-A3-217')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (1838, 19, N'218', N'Available', NULL, NULL, NULL, N'AL-F3-A3-218')
